Store Name,Address,Location,Timings,Latitude,Longitude,Phone
"Lal Quarters, Krishna Nagar","Shop No B 6/1, Mandir Lane, Lal Quarters, Krishna Nagar, New Delhi, 110051",Delhi,11:00 AM to 09:30 PM,,,7428891162
Flagship Store Greater Kailash 2,"Plot No 38, Ground Floor, M Block, Greater Kailash 2, New Delhi, 110048",Delhi,11:00 AM to 09:30 PM,,,8929330350
"Hudson Lane, GTB Nagar","Shop No 2513, Ground Floor, Hudson Lane, GTB Nagar, New Delhi, 110009",Delhi,11:00 AM to 09:30 PM,,,7428891175
Pacific Mall Dwarka,"Shop No Sh/Gf/07, Ground Floor, Pacific Mall, Metro Station Line 3, Near Metro Station Entry Gate, Sector 21, Dwarka, Delhi, 110077",Delhi,11:00 AM to 09:30 PM,,,8588931408
Tilak Nagar,"D 118, Jail Road, Fateh Nagar, Tilak Nagar, Delhi, 110018",Delhi,11:00 AM to 09:30 PM,,,9999841457
Sarita Vihar,"Shop No 1, Plot No 8, LSC Pocket H Market, Sarita Vihar Metro Station, Sarita Vihar, New Delhi, 110076",Delhi,11:00 AM to 09:30 PM,,,7428891188
Rohtas Nagar Shahdara,"1/9635, Pratap Pura, Hanuman Road, Street No 5, Shahdara, Delhi, 110032",Delhi,11:00 AM to 09:30 PM,,,8929302322
Vegas Mall,"Shop No 90, Groud Floor, Block B, Vegas Mall, Near Sector 14 Metro Station, Sector 14, Dwarka, New Delhi, 110075",Delhi,11:00 AM to 09:30 PM,,,7042211409
Flagship Store Malviya Nagar,"C 3, Ground Floor, Main Market, Malviya Nagar, New Delhi, 110017",Delhi,11:00 AM to 09:30 PM,,,9958481482
"Sector 15, Rohini","Ground Floor, Block F, Plot No 40, Pocket 15, Sector 15, Rohini, New Delhi, 110089",Delhi,11:00 AM to 09:30 PM,,,8447730334
West Patel Nagar,"Shop No 4, Ground Floor, Main Market, West Patel Nagar, New Delhi, 110008",Delhi,11:00 AM to 09:30 PM,,,7065045129
Yusuf Sarai,"24 1/4, Ground Floor, Shop No 1, Besides Green Park Metro Station Gate No 4, Yusuf Sarai, New Delhi, 110016",Delhi,11:00 AM to 09:30 PM,,,7838225457
Harsh Vihar Pitam Pura,"Shop No 57, Ground Floor, Harsh Vihar, Pitam Pura, Delhi, 110034",Delhi,11:00 AM to 09:30 PM,,,8929167190
Bhera Enclave,"412 Ground Floor, Bhera Enclave, Pashchim Vihar, Delhi, 110087",Delhi,11:00 AM to 09:30 PM,,,8929261375
Kohat Enclave Pitampura,"KD 81, Shop No 3 & 4, Pitampura, Near Kohat Enclave Metro Station, Delhi, 110034",Delhi,11:00 AM to 09:30 PM,,,8929327325
Pacific Mall,"FF 08, First Floor, Pacific Mall, Tegore Garden, Near Subhash Nagar Metro Station, Najafgarh Road, New Delhi, 110018",Delhi,11:00 AM to 09:30 PM,,,9654471519
Mukherjee Nagar,"Ground Floor, Plot No 709, Dr Mukherjee Nagar, Near Batra Cinema, New Delhi, 110009",Delhi,11:00 AM to 09:30 PM,,,7428891285
Najafgarh,"Plot No 2, UGF, Roshan Mandi, Najafgarh, Delhi, 110043",Delhi,11:00 AM to 09:30 PM,,,9311773748
Nangloi Jat,"119 Ground Floor, Najafgarh Road, Nangloi, New Delhi, 110041",Delhi,11:00 AM to 09:30 PM,,,8929338425
Select City walk,"S17 A3, 2nd Floor, Select City Walk Mall, District Centre Saket, New Delhi, 110017",Delhi,11:00 AM to 09:30 PM,,,8929808413
Kirti Nagar,"Block 1, Industrial Area, Below Kirti Nagar Metro Station, Kirti Nagar, New Delhi, 110015",Delhi,11:00 AM to 09:30 PM,,,7428891335
Khanna Market,"Shop No 93, Khanna Market, Lodhi Colony, New Delhi, 110003",Delhi,11:00 AM to 09:30 PM,,,8929443816
Sector 3 Rohini,"Plot No 17, Ground Floor, Pocket F24, Sector 3, Rohini, Delhi, 110086",Delhi,11:00 AM to 09:30 PM,,,8447917937
Mahavir Enclave,"Plot No RZ-F 70, Main Palam, Dabri Road, Near ICICI Bank, Mahavir Enclave, New Delhi, 110045",Delhi,11:00 AM to 09:30 PM,,,9810501607
"Sector 7, Rohini","Shop No 1, Plot E-1/1, Sector 7, Rohini, Opposite M2K Cinema, New Delhi, 110085",Delhi,11:00 AM to 09:00 PM,,,7428891001
Mayur Vihar,"Shop No 35, Ground Floor, Pratap Nagar Market, Opposite SIMT, Mayur Vihar Phase 1, New Delhi, 110091",Delhi,11:00 AM to 09:30 PM,,,7428891003
"Sector 7, Ramphal Chowk, Dwarka","C 394, Ground Floor, Sector 7, Ramphal Chowk, Near Shiksha Bharti School, Dwarka, New Delhi, 110075",Delhi,11:00 AM to 09:30 PM,,,7428891006
Lajpat Nagar,"Shop No C7, Roxy Chowk, Next To Axis Bank, Lajpat Nagar 2, New Delhi, 110024",Delhi,11:00 AM to 09:30 PM,,,7428891050
Ramesh Nagar,"1/2 , Ground Floor, Block 1, Near Nehru Park, Ramesh Nagar, Delhi, 110015",Delhi,11:00 AM to 09:30 PM,,,8447728778
Malviya Nagar,"D 83, Shop No 3, Ground Floor, Malviya Nagar, New Delhi, 110017",Delhi,11:00 AM to 09:30 PM,,,8447928968
Janakpuri,"Shop No C1/6, Ground Floor, Opposite Mata Chanan Devi Hospital, Janakpuri, New Delhi, 110058",Delhi,11:00 AM to 09:30 PM,,,7428891058
Karol Bagh,"Shop No 1/5/30/31, Ajmal Khan Road, West Extension, Karol Bagh, New Delhi, 110005",Delhi,11:00 AM to 09:30 PM,,,8588816750
Flagship Store at Connaught Place,"K 26, Ground Floor, Opposite Pvr Plaza Cinema, Connaught Place, New Delhi, 110001",Delhi,11:00 AM to 09:30 PM,,,7428891059
Flagship Sector 7 Rohini,"Property No 1, Pocket C9, Sector 7, Rohini, New Delhi, 110085",Delhi,11:00 AM to 09:30 PM,,,8447642682
"Sector 12, Dwarka","Shop G2 & G3, Ground Floor, Plot No 11, MLU Sector 12, Opposite Gold Croft Apartments, Dwarka, New Delhi, 110075",Delhi,11:00 AM to 09:30 PM,,,7428891070
Alaknanda Market,"Shop No E 1/2, Ground Floor, Bhatia Complex, Alaknanda Market, New Delhi, 110019",Delhi,11:00 AM to 09:30 PM,,,7428891071
Laxminagar,"F 4 & 5, Vijay Block, Vikas Marg, Laxmi Nagar, Delhi, 110092",Delhi,11:00 AM to 09:30 PM,,,8826621646
Uttam Nagar,"A27, Ground Floor, Hastal Main Najafgarh Road, Uttam Nagar, New Delhi, 110059",Delhi,11:00 AM to 09:30 PM,,,8929273106
Kailash Colony,"HS 17, Ground Floor, East Side, Kailash Colony Market, New Delhi, 110048",Delhi,11:00 AM to 09:30 PM,,,7428890266
Janakpuri C4E,"Shop No 331, Ground Floor, C4E, Janakpuri, New Delhi, 110058",Delhi,11:00 AM to 09:30 PM,,,8929756455
Neb Sarai,"A95,GF, Freedom Fighter Enclave, Main Road, Neb Sarai, Delhi, 110068",Delhi,11:00 AM to 09:30 PM,,,8447725705
Bhajanpura,"F 398, Ground Floor, Khajoori Khas, Main Wazirabad Road, Bhajanpura, New Delhi, 110094",Delhi,11:00 AM to 09:30 PM,,,8929277897
Ashok Vihar,"119 A, Deep Enclave, Phase 3, Near Ambedkar Chowk, Ashok Vihar, Delhi, 110052",Delhi,11:00 AM to 09:30 PM,,,8130101670
Sector 133,"Shop No 3 & 4, Ground Floor, Paras One 33, Sector 133, Noida, Uttar Pradesh, 201304",Uttar Pradesh,11:00 AM to 09:00 PM,,,7065045166
Qaiserbagh Lucknow,"Shop No 5, Tandon Building, Kaiser Bagh, Kaiser Bagh Crossing, Lucknow, Uttar Pradesh, 226001",Uttar Pradesh,11:00 AM to 09:30 PM,,,9643081427
Ratankhand,"Cp 2/4, Crystal City Centre, Ratankhand, Sharda Nadar Yojana, Ratankhand, Lucknow, Uttar Pradesh, 226012",Uttar Pradesh,11:00 AM to 09:00 PM,,,8447745330
Vinayak Mall,"Shop No 2, Lower Ground Floor, Building No 2/205, Vinayak Mall, Diwani Crossing, Vinayak Mall, Near District Court, Diwani Crossing, Agra, Uttar Pradesh, 282002",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428890294
Mathura,"Shop No 11 & 12, Ground Floor, M R Complex, Bhuteshwar Road, , Bhuteshwar Road, Mathura, Uttar Pradesh, 281004",Uttar Pradesh,11:00 AM to 09:30 PM,,,8448440319
Gomti Nagar,"1/99, Vinay Khand, Patrakaarpuram, Gomti Nagar, Gomti Nagar, Near First Cry, Lucknow, Uttar Pradesh, 226010",Uttar Pradesh,11:00 AM to 09:30 PM,,,7303446447
Bahraich,"79, Digiha, Gonda Road, Gonda Road, Near Agrasen Chowk, Bahraich, Uttar Pradesh, 271801",Uttar Pradesh,11:00 AM to 09:30 PM,,,9311773715
Sigra,"D 62/48, First Floor, Sonia Road, Sigra, Bharat Sevashram Sangh, Varanasi, Uttar Pradesh, 221010",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428890035
Shaimar Garden,"Plot No 15, G1, Ground Floor, Block C, Shalimar Garden Extension 2, Sahibabad, Shalimar Garden, Ghaziabad, Uttar Pradesh, 201005",Uttar Pradesh,11:00 AM to 09:30 PM,,,7303371372
Indirapuram,"Shop No G2, Aditya Goldcrest, Vaibhav Khand, Indirapuram, , Indirapuram, Beside Narulas, Ghaziabad, Uttar Pradesh, 201014",Uttar Pradesh,11:00 AM to 09:30 PM,,,9319369533
Phoenix United Mall,"Cp 08, 1St Floor, Phoenix United Mall, Sector B, Lda Colony, Kanpur Road, Near Wildcraft, Lucknow, Uttar Pradesh, 226012",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891128
Jankipuram,"Plot No 31, 60 Feet Road, Jankipuram, , Jankipuram, Near Mulayam Tiraha, Lucknow, Uttar Pradesh, 226021",Uttar Pradesh,11:00 AM to 09:00 PM,,,9319371908
Sector 75 Noida,"Shop No 10C & 10D, Ground Floor, Block B, Spectrum Metro, Sector 75, Noida, Uttar Pradesh, 201301",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929174102
Ambedkar Road,"Shop No N 21, Nehru Nagar 3, Ambedkar Road, Adjacent To Banwari Lal Restaurant, Ghaziabad, Uttar Pradesh, 201001",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891144
Garh Road,"Shop No 2, Gf,¬ Pinnacle‚ Tower, Garh Road, Garh Road, Meerut, Uttar Pradesh, 250001",Uttar Pradesh,11:00 AM to 09:00 PM,,,8447820217
Naini,"152/41, Moja Chak, Raghunath Parhana, Naini, Shankar Dhal, Prayagraj Tehsil Karchana, Naini, Near Shankar Dhal, Prayagraj, Uttar Pradesh, 211008",Uttar Pradesh,11:00 AM to 09:00 PM,,,8929280250
Mall Road,"18/183, The Mall Road, Kurswan, Mall Road, Opposite Phoolbagh, Kanpur, Uttar Pradesh, 208001",Uttar Pradesh,11:00 AM to 09:00 PM,,,8929436466
SGPGI,"Khasra No 1463, Sgpgi Market, Krishna Vihar Colony, Raibarelli Road, Eldeco Udhyan Ii, Sgpgi Market, Lucknow, Uttar Pradesh, 226014",Uttar Pradesh,11:00 AM to 09:30 PM,,,8447818451
Grand Venice Mall,"Shop No 02, Lower Ground Floor, Grand Venice Mall, Site Iv Pari Chowk, Site Iv, Pari Chowk, Greater Noida, Uttar Pradesh, 201308",Uttar Pradesh,11:00 AM to 09:30 PM,,,9582351439
Gol Market,"B 939/B, D B S Tower, Sector A, Mandir Marg, Gole Market, Lucknow, Uttar Pradesh, 226006",Uttar Pradesh,11:00 AM to 09:00 PM,,,7303242243
Sadar Bazar,"T 4 Suraj Complex, 4 Taj Road, Sadar Bazar, Sadar Bazar, Near Jio Retial Shop, Agra, Uttar Pradesh, 282001",Uttar Pradesh,11:00 AM to 09:30 PM,,,9319365057
Ashiyana,"H No K-833,¬ Ashiyana Colony, Ashiyana, Near Pizza Hut, Lucknow, Uttar Pradesh, 226012",Uttar Pradesh,11:00 AM to 09:30 PM,,,7303283284
Rathyatra,"Shop No 4, 58, 53 & 54, Shivam Complex, Rathyatra Crossing, , Rathyatra, Infront Of Kuber Complex, Varanasi, Uttar Pradesh, 221010",Uttar Pradesh,11:00 AM to 09:30 PM,,,9319375622
LuLu Mall,"Shop No H005, T5&T-Aajbb-2, Ansal Ape, Sushant Golf City, Sultanpur Road, Ansal Ape, Lulu Mall, Lucknow, Uttar Pradesh, 226030",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929338626
"Sector E, Aliganj","Hig 65, Lower Ground Floor, Kapoorthala Road, Sector E, Aliganj, Opposite Keventers, Lucknow, Uttar Pradesh, 226024",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891176
Shastri Nagar,"Plot No 12/2, Ground/First Floor, Sector 2, Central Market, Shastri Nagar, Shastri Nagar, Meerut, Uttar Pradesh, 250004",Uttar Pradesh,11:00 AM to 09:00 PM,,,8929345115
Vibhuti khand,"G11, Ground Floor, Levana Cyber Heights, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh, 226010",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929276236
Z Square Mall,"Shop No 16/113, G 28A, Ground Floor, Z Square Mall, M G Road, Near Bada Chauraha, Kanpur, Uttar Pradesh, 208001",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891178
Thakurganj,"439/14, Hardoi Road, Thakurganj Chowk, Thakurganj Chowk, Opposite City Montessori School, Lucknow, Uttar Pradesh, 226003",Uttar Pradesh,11:00 AM to 09:00 PM,,,8929342527
RDC Rajnagar,"Shop No 1 & 2, Advocate Chamber, , Rdc Rajnagar, Near Bikanerwala, Ghaziabad, Uttar Pradesh, 201002",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891184
"Sector 3, Vasundhara","Shop No Ug 06, Ugf, Ksn Square, Plot No 12,13,14, Sector 3, Vasundhara, Sector 3, Vasundhara, Ghaziabad, Uttar Pradesh, 201012",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929347357
"Indiranagar, Lucknow","Shop No B4 & 5, Krishna Complex, Faizabad Road, Indiranagar, Bhootnath Market, Lucknow, Uttar Pradesh, 226016",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891193
Olandganj,"House No 141, Td College, Olandganj, Near Chandra Hotel, Jaunpur, Uttar Pradesh, 222002",Uttar Pradesh,11:00 AM to 09:00 PM,,,8929306572
"Phoenix United Mall, Bareilly","Shop No F 298, First Floor, Phoenix United Mall, Mahanagar Colony, Pilibhit Bypass, Bareilly, Uttar Pradesh, 243006",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891201
Civil line,"Shop No 2&3, Gks Palace, Ayub Khan Choupla Road, 63-64, Civil Lines, , Civilline, Bareilly, Uttar Pradesh, 243001",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929100938
"Sector 137, Noida","Ground Floor, Shop No Blk2, Paras Tierra, Sector 137, Sector 137, Noida, Uttar Pradesh, 201305",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929346615
Sector 46 Noida,"Shop No 15, Ground Floor, Gardenia Aims Glory, I Square Market, Plot No Gh 001, Sector 46, Noida, Uttar Pradesh, 201301",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929543971
Flagship Store Tilak Nagar,"Gf 4/281-B, Parvati Bangla Road, Tilak Nagar, Kanpur, Uttar Pradesh, 208002",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929172546
Omaxe Connaught Place Mall,"Shop No 7, Upper Ground Floor, , Omaxe Connaught Place Mall, Beta 2, Near Igl Cng Filling Station, Greater Noida, Uttar Pradesh, 201308",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891236
Sector 62,"Rn11, Ground Floor, Sector 62, Near Bank Of Maharashtra, Noida, Uttar Pradesh, 201301",Uttar Pradesh,11:00 AM to 09:30 PM,,,7290012952
Modi Nagar,"Shop No 11, 11A, 12A, Kn Mod Complex, Gt Road, Modinagar, Modinagar, Ghaziabad, Uttar Pradesh, 201204",Uttar Pradesh,11:00 AM to 09:00 PM,,,8588803142
Orderly Bazar,"Shop No S2 /363 A, Bhojubir, Ward Sikraul, Orderly Bazar, Bhojubeer, Varanasi, Uttar Pradesh, 221002",Uttar Pradesh,11:00 AM to 09:30 PM,,,9319360892
Crossing Republic,"Upper Ground-02, Plot No C-2, Nh-24, Orbit Plaza, Crossing Republic, Next To More Store, Ghaziabad, Uttar Pradesh, 201009",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891244
"Sector 4, Vaishali","Shop No 3, Ground Floor, Nipun Plaza, Plot No 1, Sector 4, Vaishali, Near Nazeer Food Restaurant, Ghaziabad, Uttar Pradesh, 201010",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891246
Dadri,"Khasra No 756, Gt Road, Gt Road, Opposite Reliance Trends, Dadri, Uttar Pradesh, 203207",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929335305
Durgakund,"Shop No B 27/98, A/7A, Durgakund Road, Durgakund, Beside Dayal Tower, Varanasi, Uttar Pradesh, 221005",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428890216
Ghazipur,"Shop No 137/1, Saklenabad, Sadar, , Saklenabad, Ghazipur, Uttar Pradesh, 233001",Uttar Pradesh,11:00 AM to 09:00 PM,,,8447713955
Moradabad,"20 Awas Vikas, Pili Kothi Chauraha, Kanth Road, Moradabad, Uttar Pradesh, 244001",Uttar Pradesh,11:00 AM to 09:00 PM,,,8865955520
Betiahata Chowk,"Shop No 3 & 4, St Andrews Inter College, Bettihata, Betiahata Chowk, Near Petrol Pump, Gorakhpur, Uttar Pradesh, 273001",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428890238
Indirapuram,"Shop No B/120, Ground Floor, Indirapuram Habitat Centre, Indirapuram, Near Hira Sweets, Ghaziabad, Uttar Pradesh, 201014",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891281
Govind Nagar,"79/4, A Block 8, Govind Nagar, Govind Nagar, Near Chawla Chauraha, Kanpur, Uttar Pradesh, 208006",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929172797
Mall of India,"Shop No D17 B, Lower Ground Floor, Sector 18, Dlf Mall Of India, Next To Jawed Habib, Noida, Uttar Pradesh, 201301",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891282
SP Marg,"43/5 & 6, Sardar Patel Marg, Civil Lines, Sp Marg, Prayagraj, Uttar Pradesh, 211001",Uttar Pradesh,11:00 AM to 09:00 PM,,,9899301527
Rajajipuram,"E 2624 Rajajipuram, , Rajajipuram, Near Lal Path Lab, Lucknow, Uttar Pradesh, 226017",Uttar Pradesh,11:00 AM to 09:30 PM,,,9971523524
Begumbridge,"Shop No 2, Ground Floor, Crown Plaza, South, Begum Bridge, Begum Bridge, Adjacent To Nazeer Foods, Meerut, Uttar Pradesh, 250001",Uttar Pradesh,11:00 AM to 09:00 PM,,,8929347794
Malviya Road,"Malviya Road, Near Union Bank, Malviya Road, Deoria, Uttar Pradesh, 274001",Uttar Pradesh,10:30 AM to 08:00 PM,,,7303974975
"Civil Lines, Kanpur","Shop No 14/122, Plot No 48, Ppn Market, Civil Lines, Near Pandit Prithi Nath College, Kanpur, Uttar Pradesh, 208001",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891306
Pilibhit,"Naugawan Pakariya, Near Chatri Chauraha, Tanakpur Road, Nai Basti, Pilibhit, Uttar Pradesh, 262001",Uttar Pradesh,10:00 AM to 09:00 PM,,,9149360474
Phoenix Palassio Mall,"T-35, Third Floor, Phoenix Palassio Mall, Sector 7, Gomti Nagar Extension, Amar Saheed Path, Gomti Nagar, Near Ekana Stadium, Lucknow, Uttar Pradesh, 226010",Uttar Pradesh,11:00 AM to 09:30 PM,,,7303842843
Shakti Chowk,"First Floor, 198/53, Sd Puram Colony, Gate No 1, Civil Lines 1, Shakti Chowk, Bijnor, Uttar Pradesh, 246701",Uttar Pradesh,11:00 AM to 09:30 PM,,,8447830154
Mirzapur,"Giridhar Ka Chauraha, Badli Katra Road, Near City Kart, Mirzapur, Uttar Pradesh, 231001",Uttar Pradesh,10:00 AM to 09:00 PM,,,7393868630
VVIP Mall,"G 18, Vvip Mall, Nh 58, Raj Nagar Extension, Noor Nagar, Near Heera Sweets, Ghaziabad, Uttar Pradesh, 201001",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891312
Panchsheel,"Shop No Gf 43 Ground Floor, Plot No Gh 1, Link Road, Greno West, Link Road, Near Guru Di Hatti, Greater Noida, Uttar Pradesh, 201306",Uttar Pradesh,11:00 AM to 09:30 PM,,,9643107980
Govindpuram,"Shop No 20 & 21, Gf, Signature Street, G Block, Govindpuram, Govindpuram, Ghaziabad, Uttar Pradesh, 201013",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929436779
Shalimar Gateway Mall Alambagh,"16 Ground Floor, Shalimar Gateway Mall, Alambagh, Beside Alambagh Bus Stand, Lucknow, Uttar Pradesh, 226005",Uttar Pradesh,11:00 AM to 09:00 PM,,,8929277343
Hapur,"2423, Ground Floor, Nehru Chowk, Atarpura, Garh Road, Garh Road, Hapur, Uttar Pradesh, 245101",Uttar Pradesh,11:00 AM to 09:00 PM,,,9999203861
Kidwai Nagar,"133/155, M Block, Kidwai Nagar, Kidwai Nagar, Beside Bank Of Baroda, Kanpur, Uttar Pradesh, 208011",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929276286
Kamla Nagar,"32A/B71, 1St Floor, Semi Basement, Central Bank Road, Kamla Nagar, Kamla Nagar, Agra, Uttar Pradesh, 282005",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929306428
Mahagun Mart Shopping Complex,"Shop No 48, Plot No Gh04, , Mahagun Mart Shopping Complex, Gaur City 2, Greater Noida West, Noida, Uttar Pradesh, 201301",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891333
Fatehabad Road,"Groud Floor, Khasra No 1079 ,1375, & 1374, Mouza Basai Mustakil Tehil District, 30/6/20, K/1, Gower Chowki, Fatehabad Road, Agra, Uttar Pradesh, 282001",Uttar Pradesh,11:00 AM to 09:00 PM,,,5624092451
Flagship Store Great India Place Mall,"Shop No 46, 47, Ground Floor, Sector 38, Great India Place Mall 2, Opposite Tanishq, Noida, Uttar Pradesh, 201301",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891344
"Atta Market, Sector 18, Noida","G6 & G6A, Ground Floor, Jop Plaza, , Atta Market, Sector 18, Next To Metro Station Gate No 2, Noida, Uttar Pradesh, 201301",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891023
Abu Lane,"Ground Floor, C313, Abu Lane, Meerut, Uttar Pradesh, 250001",Uttar Pradesh,11:00 AM to 09:00 PM,,,8447727685
Lajpat Nagar,"Ground Floor, Plot No 120/852, Narainpurwa, Lajpat Nagar, Lajpat Nagar, Kanpur, Uttar Pradesh, 208012",Uttar Pradesh,11:00 AM to 09:30 PM,,,8447893843
"Sector 12, Vasundhara","Plot No 506, Ground Floor, Sector 12, Vasundhara, Opposite Sunrise Mall, Ghaziabad, Uttar Pradesh, 201012",Uttar Pradesh,11:00 AM to 09:30 PM,,,7428891374
Basharatpur,"UGF, JP Complex, Plot No 281A, Basharatpur, Near Passport Office, Gorakhpur, Uttar Pradesh, 273004",Uttar Pradesh,11:00 AM to 09:30 PM,,,8929608628
Civil Lines,"Lg 4, Lower Ground Floor, Ram Raghu Palazzo, Church Road, Civil Lines Village Sarjepur, Civil Lines, Agra, Uttar Pradesh, 282002",Uttar Pradesh,11:00 AM to 09:30 PM,,,8447731781
Shahjahanpur,"Nath Tower, Tareen Bahadur Ganj, Near Ghantaghar, Shahjahanpur, Uttar Pradesh, 242001",Uttar Pradesh,11:00 AM to 09:00 PM,,,8929342372
Swaroop Nagar,"Shop No G8 & G9, Ground Floor, House No 7/118, Tulsa Complex, Swaroop Nagar, Swaroop Nagar, Kanpur, Uttar Pradesh, 208002",Uttar Pradesh,11:00 AM to 09:30 PM,,,8447745038
